low.token	low.lemma	pos	freq	ent	frei	los	un	typ	basis
hilflos	hilflos	ADJD	198614	FALSE	FALSE	TRUE	FALSE	-los	hilf
ungerecht	ungerecht	ADJD	195088	FALSE	FALSE	FALSE	TRUE	un-	gerecht
mühelos	mühelos	ADJD	192195	FALSE	FALSE	TRUE	FALSE	-los	mühe
unbemerkt	unbemerkt	ADJD	191607	FALSE	FALSE	FALSE	TRUE	un-	bemerkt
ungeklärt	ungeklärt	ADJD	191332	FALSE	FALSE	FALSE	TRUE	un-	geklärt
restlos	restlos	ADJD	189138	FALSE	FALSE	TRUE	FALSE	-los	rest
unverzüglich	unverzüglich	ADJD	186276	FALSE	FALSE	FALSE	TRUE	un-	verzüglich
ratlos	ratlos	ADJD	185928	FALSE	FALSE	TRUE	FALSE	-los	rat
gnadenlos	gnadenlos	ADJD	185447	FALSE	FALSE	TRUE	FALSE	-los	gnaden
undenkbar	undenkbar	ADJD	181751	FALSE	FALSE	FALSE	TRUE	un-	denkbar
unbestritten	unbestritten	ADJD	177942	FALSE	FALSE	FALSE	TRUE	un-	bestritten
enttäuschend	enttäuschend	ADJD	175882	TRUE	FALSE	FALSE	FALSE	ent-	täuschend
enttäuschenden	enttäuschend	ADJA	169924	TRUE	FALSE	FALSE	FALSE	ent-	täuschend
barrierefrei	barrierefrei	ADJD	168679	FALSE	TRUE	FALSE	FALSE	-frei	barriere
ungebrochen	ungebrochen	ADJD	166482	FALSE	FALSE	FALSE	TRUE	un-	gebrochen
ungewohnt	ungewohnt	ADJD	165822	FALSE	FALSE	FALSE	TRUE	un-	gewohnt
ungenutzt	ungenutzt	ADJD	165612	FALSE	FALSE	FALSE	TRUE	un-	genutzt
ungeklärter	ungeklärt	ADJA	163966	FALSE	FALSE	FALSE	TRUE	un-	geklärt
ungemein	ungemein	ADJD	161575	FALSE	FALSE	FALSE	TRUE	un-	gemein
nahtlos	nahtlos	ADJD	160366	FALSE	FALSE	TRUE	FALSE	-los	naht
spurlos	spurlos	ADJD	158586	FALSE	FALSE	TRUE	FALSE	-los	spur
unerträglich	unerträglich	ADJD	154970	FALSE	FALSE	FALSE	TRUE	un-	erträglich
unbegründet	unbegründet	ADJD	153610	FALSE	FALSE	FALSE	TRUE	un-	begründet
unangenehme	unangenehm	ADJA	152757	FALSE	FALSE	FALSE	TRUE	un-	angenehm
unschuldig	unschuldig	ADJD	152681	FALSE	FALSE	FALSE	TRUE	un-	schuldig
unmittelbare	unmittelbar	ADJA	151870	FALSE	FALSE	FALSE	TRUE	un-	mittelbar
unermüdlich	unermüdlich	ADJD	151297	FALSE	FALSE	FALSE	TRUE	un-	ermüdlich
ungleich	ungleich	ADJD	150959	FALSE	FALSE	FALSE	TRUE	un-	gleich
fassungslos	fassungslos	ADJD	147867	FALSE	FALSE	TRUE	FALSE	-los	fassungs
machtlos	machtlos	ADJD	145588	FALSE	FALSE	TRUE	FALSE	-los	macht
kampflos	kampflos	ADJD	144918	FALSE	FALSE	TRUE	FALSE	-los	kampf
unerwartete	unerwartet	ADJA	143178	FALSE	FALSE	FALSE	TRUE	un-	erwartet
unglaublichen	unglaublich	ADJA	142166	FALSE	FALSE	FALSE	TRUE	un-	glaublich
ausnahmslos	ausnahmslos	ADJD	139609	FALSE	FALSE	TRUE	FALSE	-los	ausnahms
unmissverständlich	unmissverständlich	ADJD	137793	FALSE	FALSE	FALSE	TRUE	un-	missverständlich
unzulässig	unzulässig	ADJD	137225	FALSE	FALSE	FALSE	TRUE	un-	zulässig
unglücklichen	unglücklich	ADJA	135920	FALSE	FALSE	FALSE	TRUE	un-	glücklich
sinnlos	sinnlos	ADJD	135776	FALSE	FALSE	TRUE	FALSE	-los	sinn
unauffällig	unauffällig	ADJD	135017	FALSE	FALSE	FALSE	TRUE	un-	auffällig
unhaltbar	unhaltbar	ADJD	133472	FALSE	FALSE	FALSE	TRUE	un-	haltbar
uneingeschränkt	uneingeschränkt	ADJD	133179	FALSE	FALSE	FALSE	TRUE	un-	eingeschränkt
entschlossen	entschlossen	ADJD	132651	TRUE	FALSE	FALSE	FALSE	ent-	schlossen
reibungslosen	reibungslos	ADJA	132614	FALSE	FALSE	TRUE	FALSE	-los	reibungs
unerwarteten	unerwartet	ADJA	132534	FALSE	FALSE	FALSE	TRUE	un-	erwartet
unsichtbar	unsichtbar	ADJD	132165	FALSE	FALSE	FALSE	TRUE	un-	sichtbar
ungeschlagenen	ungeschlagen	ADJA	131954	FALSE	FALSE	FALSE	TRUE	un-	geschlagen
unweigerlich	unweigerlich	ADJD	131674	FALSE	FALSE	FALSE	TRUE	un-	weigerlich
unglückliche	unglücklich	ADJA	131314	FALSE	FALSE	FALSE	TRUE	un-	glücklich
unbeeindruckt	unbeeindruckt	ADJD	131147	FALSE	FALSE	FALSE	TRUE	un-	beeindruckt
unumgänglich	unumgänglich	ADJD	130204	FALSE	FALSE	FALSE	TRUE	un-	umgänglich
unkompliziert	unkompliziert	ADJD	129839	FALSE	FALSE	FALSE	TRUE	un-	kompliziert
unrealistisch	unrealistisch	ADJD	129695	FALSE	FALSE	FALSE	TRUE	un-	realistisch
unerlässlich	unerlässlich	ADJD	126301	FALSE	FALSE	FALSE	TRUE	un-	erlässlich
ununterbrochen	ununterbrochen	ADJD	124095	FALSE	FALSE	FALSE	TRUE	un-	unterbrochen
spielfrei	spielfrei	ADJD	121934	FALSE	TRUE	FALSE	FALSE	-frei	spiel
unerkannt	unerkannt	ADJD	121662	FALSE	FALSE	FALSE	TRUE	un-	erkannt
ungeeignet	ungeeignet	ADJD	119797	FALSE	FALSE	FALSE	TRUE	un-	geeignet
unfassbar	unfassbar	ADJD	119124	FALSE	FALSE	FALSE	TRUE	un-	fassbar
kostenloses	kostenlos	ADJA	118207	FALSE	FALSE	TRUE	FALSE	-los	kosten
unvermittelt	unvermittelt	ADJD	117647	FALSE	FALSE	FALSE	TRUE	un-	vermittelt
unvorstellbar	unvorstellbar	ADJD	116802	FALSE	FALSE	FALSE	TRUE	un-	vorstellbar
sieglosen	sieglos	ADJA	116468	FALSE	FALSE	TRUE	FALSE	-los	sieg
zweifelsfrei	zweifelsfrei	ADJD	115889	FALSE	TRUE	FALSE	FALSE	-frei	zweifels
ungehindert	ungehindert	ADJD	115545	FALSE	FALSE	FALSE	TRUE	un-	gehindert
unabdingbar	unabdingbar	ADJD	115120	FALSE	FALSE	FALSE	TRUE	un-	abdingbar
ungültig	ungültig	ADJD	115092	FALSE	FALSE	FALSE	TRUE	un-	gültig
hoffnungslos	hoffnungslos	ADJD	114900	FALSE	FALSE	TRUE	FALSE	-los	hoffnungs
unnötigen	unnötig	ADJA	114892	FALSE	FALSE	FALSE	TRUE	un-	nötig
arbeitslose	arbeitslos	ADJA	114067	FALSE	FALSE	TRUE	FALSE	-los	arbeits
ungestört	ungestört	ADJD	113567	FALSE	FALSE	FALSE	TRUE	un-	gestört
unfair	unfair	ADJD	113390	FALSE	FALSE	FALSE	TRUE	un-	fair
ungefährlich	ungefährlich	ADJD	112853	FALSE	FALSE	FALSE	TRUE	un-	gefährlich
harmlosen	harmlos	ADJA	112083	FALSE	FALSE	TRUE	FALSE	-los	harm
unentschieden	unentschieden	ADJD	111820	FALSE	FALSE	FALSE	TRUE	un-	entschieden
fehlerfrei	fehlerfrei	ADJD	109898	FALSE	TRUE	FALSE	FALSE	-frei	fehler
einwandfrei	einwandfrei	ADJD	109630	FALSE	TRUE	FALSE	FALSE	-frei	einwand
ungewohnte	ungewohnt	ADJA	109618	FALSE	FALSE	FALSE	TRUE	un-	gewohnt
unfreiwillig	unfreiwillig	ADJD	109590	FALSE	FALSE	FALSE	TRUE	un-	freiwillig
ungewohnten	ungewohnt	ADJA	109479	FALSE	FALSE	FALSE	TRUE	un-	gewohnt
unbesetzt	unbesetzt	ADJD	109129	FALSE	FALSE	FALSE	TRUE	un-	besetzt
unumstritten	unumstritten	ADJD	106440	FALSE	FALSE	FALSE	TRUE	un-	umstritten
unübersehbar	unübersehbar	ADJD	106352	FALSE	FALSE	FALSE	TRUE	un-	übersehbar
unentgeltlich	unentgeltlich	ADJD	106045	FALSE	FALSE	FALSE	TRUE	un-	entgeltlich
ungebremst	ungebremst	ADJD	105007	FALSE	FALSE	FALSE	TRUE	un-	gebremst
unberührt	unberührt	ADJD	104741	FALSE	FALSE	FALSE	TRUE	un-	berührt
unsicheren	unsicher	ADJA	104652	FALSE	FALSE	FALSE	TRUE	un-	sicher
unabhängiger	unabhängig	ADJA	103540	FALSE	FALSE	FALSE	TRUE	un-	abhängig
bewusstlos	bewusstlos	ADJD	100602	FALSE	FALSE	TRUE	FALSE	-los	bewusst
entdeckten	entdeckt	ADJA	100105	TRUE	FALSE	FALSE	FALSE	ent-	deckt
zahllose	zahllos	ADJA	99592	FALSE	FALSE	TRUE	FALSE	-los	zahl
harmlose	harmlos	ADJA	98397	FALSE	FALSE	TRUE	FALSE	-los	harm
unvergessen	unvergessen	ADJD	98176	FALSE	FALSE	FALSE	TRUE	un-	vergessen
unverantwortlich	unverantwortlich	ADJD	97940	FALSE	FALSE	FALSE	TRUE	un-	verantwortlich
zahllosen	zahllos	ADJA	97163	FALSE	FALSE	TRUE	FALSE	-los	zahl
unruhig	unruhig	ADJD	96953	FALSE	FALSE	FALSE	TRUE	un-	ruhig
ungeduldig	ungeduldig	ADJD	96253	FALSE	FALSE	FALSE	TRUE	un-	geduldig
ungefährdeten	ungefährdet	ADJA	96087	FALSE	FALSE	FALSE	TRUE	un-	gefährdet
sprachlos	sprachlos	ADJD	95393	FALSE	FALSE	TRUE	FALSE	-los	sprach
kostenfreie	kostenfrei	ADJA	95324	FALSE	TRUE	FALSE	FALSE	-frei	kosten
endlos	endlos	ADJD	94066	FALSE	FALSE	TRUE	FALSE	-los	end
ungünstig	ungünstig	ADJD	92984	FALSE	FALSE	FALSE	TRUE	un-	günstig
unangenehmen	unangenehm	ADJA	92616	FALSE	FALSE	FALSE	TRUE	un-	angenehm
unbeantwortet	unbeantwortet	ADJD	92555	FALSE	FALSE	FALSE	TRUE	un-	beantwortet
unversehrt	unversehrt	ADJD	91115	FALSE	FALSE	FALSE	TRUE	un-	versehrt
unbestimmte	unbestimmt	ADJA	90956	FALSE	FALSE	FALSE	TRUE	un-	bestimmt
unvermeidlich	unvermeidlich	ADJD	90757	FALSE	FALSE	FALSE	TRUE	un-	vermeidlich
ungewöhnlicher	ungewöhnlich	ADJA	90349	FALSE	FALSE	FALSE	TRUE	un-	gewöhnlich
ergebnislos	ergebnislos	ADJD	89310	FALSE	FALSE	TRUE	FALSE	-los	ergebnis
unendliche	unendlich	ADJA	88700	FALSE	FALSE	FALSE	TRUE	un-	endlich
entspannter	entspannt	ADJD	88258	TRUE	FALSE	FALSE	FALSE	ent-	spannt
ungeliebten	ungeliebt	ADJA	88107	FALSE	FALSE	FALSE	TRUE	un-	geliebt
aussichtslos	aussichtslos	ADJD	87781	FALSE	FALSE	TRUE	FALSE	-los	aussichts
unerlaubt	unerlaubt	ADJD	86736	FALSE	FALSE	FALSE	TRUE	un-	erlaubt
ungenügend	ungenügend	ADJD	86490	FALSE	FALSE	FALSE	TRUE	un-	genügend
ungewöhnliches	ungewöhnlich	ADJA	86437	FALSE	FALSE	FALSE	TRUE	un-	gewöhnlich
barrierefreien	barrierefrei	ADJA	85565	FALSE	TRUE	FALSE	FALSE	-frei	barriere
ungünstigen	ungünstig	ADJA	85070	FALSE	FALSE	FALSE	TRUE	un-	günstig
unverdient	unverdient	ADJD	84994	FALSE	FALSE	FALSE	TRUE	un-	verdient
arbeitslosen	arbeitslos	ADJA	84960	FALSE	FALSE	TRUE	FALSE	-los	arbeits
endlosen	endlos	ADJA	84077	FALSE	FALSE	TRUE	FALSE	-los	end
unbefriedigend	unbefriedigend	ADJD	83744	FALSE	FALSE	FALSE	TRUE	un-	befriedigend
ungeklärten	ungeklärt	ADJA	83700	FALSE	FALSE	FALSE	TRUE	un-	geklärt
steuerfrei	steuerfrei	ADJD	83543	FALSE	TRUE	FALSE	FALSE	-frei	steuer
entspannte	entspannt	ADJA	83399	TRUE	FALSE	FALSE	FALSE	ent-	spannt
ungeheuer	ungeheuer	ADJD	83314	FALSE	FALSE	FALSE	TRUE	un-	geheuer
unermüdlichen	unermüdlich	ADJA	82280	FALSE	FALSE	FALSE	TRUE	un-	ermüdlich
tatenlos	tatenlos	ADJD	81485	FALSE	FALSE	TRUE	FALSE	-los	taten
barrierefreie	barrierefrei	ADJA	81368	FALSE	TRUE	FALSE	FALSE	-frei	barriere
unausweichlich	unausweichlich	ADJD	81097	FALSE	FALSE	FALSE	TRUE	un-	ausweichlich
unvergesslichen	unvergesslich	ADJA	80827	FALSE	FALSE	FALSE	TRUE	un-	vergesslich
unbürokratisch	unbürokratisch	ADJD	80158	FALSE	FALSE	FALSE	TRUE	un-	bürokratisch
unproblematisch	unproblematisch	ADJD	79761	FALSE	FALSE	FALSE	TRUE	un-	problematisch
entspannten	entspannt	ADJA	78875	TRUE	FALSE	FALSE	FALSE	ent-	spannt
unverkennbar	unverkennbar	ADJD	78796	FALSE	FALSE	FALSE	TRUE	un-	verkennbar
unweit	unweit	ADJD	78554	FALSE	FALSE	FALSE	TRUE	un-	weit
unberechenbar	unberechenbar	ADJD	78223	FALSE	FALSE	FALSE	TRUE	un-	berechenbar
unbeirrt	unbeirrt	ADJD	77596	FALSE	FALSE	FALSE	TRUE	un-	beirrt
unschlagbar	unschlagbar	ADJD	77365	FALSE	FALSE	FALSE	TRUE	un-	schlagbar
enttäuschende	enttäuschend	ADJA	77052	TRUE	FALSE	FALSE	FALSE	ent-	täuschend
unangemessen	unangemessen	ADJD	76782	FALSE	FALSE	FALSE	TRUE	un-	angemessen
unverbindlich	unverbindlich	ADJD	76496	FALSE	FALSE	FALSE	TRUE	un-	verbindlich
unbegrenzt	unbegrenzt	ADJD	76470	FALSE	FALSE	FALSE	TRUE	un-	begrenzt
endlose	endlos	ADJA	76304	FALSE	FALSE	TRUE	FALSE	-los	end
unbekanntes	unbekannt	ADJA	75319	FALSE	FALSE	FALSE	TRUE	un-	bekannt
unsichere	unsicher	ADJA	74492	FALSE	FALSE	FALSE	TRUE	un-	sicher
unerheblich	unerheblich	ADJD	74262	FALSE	FALSE	FALSE	TRUE	un-	erheblich
unsinnig	unsinnig	ADJD	74087	FALSE	FALSE	FALSE	TRUE	un-	sinnig
unstrittig	unstrittig	ADJD	73768	FALSE	FALSE	FALSE	TRUE	un-	strittig
unwirksam	unwirksam	ADJD	73677	FALSE	FALSE	FALSE	TRUE	un-	wirksam
ungewollt	ungewollt	ADJD	73444	FALSE	FALSE	FALSE	TRUE	un-	gewollt
kostenfreien	kostenfrei	ADJA	73021	FALSE	TRUE	FALSE	FALSE	-frei	kosten
untrennbar	untrennbar	ADJD	72741	FALSE	FALSE	FALSE	TRUE	un-	trennbar
unerlaubten	unerlaubt	ADJA	72736	FALSE	FALSE	FALSE	TRUE	un-	erlaubt
kreisfreien	kreisfrei	ADJA	72719	FALSE	TRUE	FALSE	FALSE	-frei	kreis
erfolglosen	erfolglos	ADJA	72410	FALSE	FALSE	TRUE	FALSE	-los	erfolg
torlosen	torlos	ADJA	72317	FALSE	FALSE	TRUE	FALSE	-los	tor
unglaubwürdig	unglaubwürdig	ADJD	72223	FALSE	FALSE	FALSE	TRUE	un-	glaubwürdig
grenzenlos	grenzenlos	ADJD	72208	FALSE	FALSE	TRUE	FALSE	-los	grenzen
ungeahnte	ungeahnt	ADJA	72091	FALSE	FALSE	FALSE	TRUE	un-	geahnt
unangefochten	unangefochten	ADJD	72073	FALSE	FALSE	FALSE	TRUE	un-	angefochten
gebührenfrei	gebührenfrei	ADJD	71727	FALSE	TRUE	FALSE	FALSE	-frei	gebühren
uneins	uneins	ADJD	71687	FALSE	FALSE	FALSE	TRUE	un-	eins
fristlos	fristlos	ADJD	71364	FALSE	FALSE	TRUE	FALSE	-los	frist
maßlos	maßlos	ADJD	70701	FALSE	FALSE	TRUE	FALSE	-los	maß
enttäuschte	enttäuscht	ADJA	70671	TRUE	FALSE	FALSE	FALSE	ent-	täuscht
parteilose	parteilos	ADJA	70419	FALSE	FALSE	TRUE	FALSE	-los	partei
beispiellosen	beispiellos	ADJA	70398	FALSE	FALSE	TRUE	FALSE	-los	beispiel
schonungslos	schonungslos	ADJD	70193	FALSE	FALSE	TRUE	FALSE	-los	schonungs
unerwünschte	unerwünscht	ADJA	68875	FALSE	FALSE	FALSE	TRUE	un-	erwünscht
ungläubig	ungläubig	ADJD	68845	FALSE	FALSE	FALSE	TRUE	un-	gläubig
unbesiegt	unbesiegt	ADJD	68635	FALSE	FALSE	FALSE	TRUE	un-	besiegt
unzureichende	unzureichend	ADJA	68362	FALSE	FALSE	FALSE	TRUE	un-	zureichend
unumwunden	unumwunden	ADJD	68216	FALSE	FALSE	FALSE	TRUE	un-	umwunden
pausenlos	pausenlos	ADJD	68176	FALSE	FALSE	TRUE	FALSE	-los	pausen
unbehelligt	unbehelligt	ADJD	67920	FALSE	FALSE	FALSE	TRUE	un-	behelligt
sieglos	sieglos	ADJD	67839	FALSE	FALSE	TRUE	FALSE	-los	sieg
entsetzt	entsetzt	ADJD	67639	TRUE	FALSE	FALSE	FALSE	ent-	setzt
unspektakulär	unspektakulär	ADJD	67486	FALSE	FALSE	FALSE	TRUE	un-	spektakulär
unbeschwert	unbeschwert	ADJD	67223	FALSE	FALSE	FALSE	TRUE	un-	beschwert
unerwünscht	unerwünscht	ADJD	66929	FALSE	FALSE	FALSE	TRUE	un-	erwünscht
unverhofft	unverhofft	ADJD	66863	FALSE	FALSE	FALSE	TRUE	un-	verhofft
unbedenklich	unbedenklich	ADJD	66421	FALSE	FALSE	FALSE	TRUE	un-	bedenklich
unaufhaltsam	unaufhaltsam	ADJD	65890	FALSE	FALSE	FALSE	TRUE	un-	aufhaltsam
unwesentlich	unwesentlich	ADJD	65768	FALSE	FALSE	FALSE	TRUE	un-	wesentlich
unfähig	unfähig	ADJD	65670	FALSE	FALSE	FALSE	TRUE	un-	fähig
untätig	untätig	ADJD	65349	FALSE	FALSE	FALSE	TRUE	un-	tätig
unübersichtlich	unübersichtlich	ADJD	65196	FALSE	FALSE	FALSE	TRUE	un-	übersichtlich
zeitlos	zeitlos	ADJD	65157	FALSE	FALSE	TRUE	FALSE	-los	zeit
entwendeten	entwandt	ADJA	64805	TRUE	FALSE	FALSE	FALSE	ent-	wandt
unendlichen	unendlich	ADJA	64256	FALSE	FALSE	FALSE	TRUE	un-	endlich
ersatzlos	ersatzlos	ADJD	63532	FALSE	FALSE	TRUE	FALSE	-los	ersatz
ungeheure	ungeheuer	ADJA	63433	FALSE	FALSE	FALSE	TRUE	un-	geheuer
obdachlos	obdachlos	ADJD	63363	FALSE	FALSE	TRUE	FALSE	-los	obdach
ungefährdet	ungefährdet	ADJD	62827	FALSE	FALSE	FALSE	TRUE	un-	gefährdet
ungelöst	ungelöst	ADJD	62768	FALSE	FALSE	FALSE	TRUE	un-	gelöst
unwichtig	unwichtig	ADJD	62092	FALSE	FALSE	FALSE	TRUE	un-	wichtig
unentwegt	unentwegt	ADJD	61920	FALSE	FALSE	FALSE	TRUE	un-	entwegt
unverwechselbaren	unverwechselbar	ADJA	61791	FALSE	FALSE	FALSE	TRUE	un-	verwechselbar
rücksichtslos	rücksichtslos	ADJD	61591	FALSE	FALSE	TRUE	FALSE	-los	rücksichts
ungemütlich	ungemütlich	ADJD	61378	FALSE	FALSE	FALSE	TRUE	un-	gemütlich
unbewusst	unbewusst	ADJD	61125	FALSE	FALSE	FALSE	TRUE	un-	bewusst
unzumutbar	unzumutbar	ADJD	60981	FALSE	FALSE	FALSE	TRUE	un-	zumutbar
unkonventionelle	unkonventionell	ADJA	60881	FALSE	FALSE	FALSE	TRUE	un-	konventionell
unsichtbare	unsichtbar	ADJA	60782	FALSE	FALSE	FALSE	TRUE	un-	sichtbar
grundlos	grundlos	ADJD	60653	FALSE	FALSE	TRUE	FALSE	-los	grund
unvergessliche	unvergesslich	ADJA	60394	FALSE	FALSE	FALSE	TRUE	un-	vergesslich
schadlos	schadlos	ADJD	60286	FALSE	FALSE	TRUE	FALSE	-los	schad
ungleiche	ungleich	ADJA	60201	FALSE	FALSE	FALSE	TRUE	un-	gleich
wirkungslos	wirkungslos	ADJD	60064	FALSE	FALSE	TRUE	FALSE	-los	wirkungs
unerwähnt	unerwähnt	ADJD	59971	FALSE	FALSE	FALSE	TRUE	un-	erwähnt
unheimliche	unheimlich	ADJA	59701	FALSE	FALSE	FALSE	TRUE	un-	heimlich
torlos	torlos	ADJD	59251	FALSE	FALSE	TRUE	FALSE	-los	tor
unkontrolliert	unkontrolliert	ADJD	59194	FALSE	FALSE	FALSE	TRUE	un-	kontrolliert
unliebsame	unliebsam	ADJA	59133	FALSE	FALSE	FALSE	TRUE	un-	liebsam
unbequeme	unbequem	ADJA	58899	FALSE	FALSE	FALSE	TRUE	un-	bequem
entlassenen	entlassen	ADJA	58885	TRUE	FALSE	FALSE	FALSE	ent-	lassen
ungeniert	ungeniert	ADJD	58863	FALSE	FALSE	FALSE	TRUE	un-	geniert
entdeckte	entdeckt	ADJA	58827	TRUE	FALSE	FALSE	FALSE	ent-	deckt
unerreichbar	unerreichbar	ADJD	58706	FALSE	FALSE	FALSE	TRUE	un-	erreichbar
schuldenfrei	schuldenfrei	ADJD	58464	FALSE	TRUE	FALSE	FALSE	-frei	schulden
leblos	leblos	ADJD	57919	FALSE	FALSE	TRUE	FALSE	-los	leb
ablösefrei	ablösefrei	ADJD	57847	FALSE	TRUE	FALSE	FALSE	-frei	ablöse
kompromisslos	kompromisslos	ADJD	57773	FALSE	FALSE	TRUE	FALSE	-los	kompromiss
unbequem	unbequem	ADJD	57522	FALSE	FALSE	FALSE	TRUE	un-	bequem
unattraktiv	unattraktiv	ADJD	57350	FALSE	FALSE	FALSE	TRUE	un-	attraktiv
einwandfreie	einwandfrei	ADJA	56998	FALSE	TRUE	FALSE	FALSE	-frei	einwand
unverschämt	unverschämt	ADJD	56667	FALSE	FALSE	FALSE	TRUE	un-	verschämt
wahllos	wahllos	ADJD	56616	FALSE	FALSE	TRUE	FALSE	-los	wahl
unaufgeregt	unaufgeregt	ADJD	56579	FALSE	FALSE	FALSE	TRUE	un-	aufgeregt
ungeliebte	ungeliebt	ADJA	56526	FALSE	FALSE	FALSE	TRUE	un-	geliebt
wertlos	wertlos	ADJD	56458	FALSE	FALSE	TRUE	FALSE	-los	wert
